Server Round, Loss(DP with CNN), Loss(DP with RESNET50)
0,0.02199995691970844,0.027709496369751015
1,0.023539951091561914,0.016824998170246304
2,0.023606839482008903,0.03279650824804689
3,0.0345299180038954,0.03842370774728517
4,0.029346805687508252,0.036562297216431665
5,0.03163568296182751,0.03758193650865705
6,0.03150469525722871,0.0374031634989958
7,0.03129774273966465,0.03784526806510758
8,0.032073564273866755,0.03503903753864925
9,0.02947706245475797,0.034725942265457305
10,0.031062708248755237,0.033112230893319765
11,0.030170671396801445,0.03619679728756578
12,0.02978109772545121,0.034758777460866086
13,0.028423674168670948,0.03750201511615377
14,0.027423393421428646,0.036652950944331325
15,0.029679523624398095,0.03499816657564672
16,0.030137769442310287,0.03453421610862416
17,0.028778995578965665,0.034663550183630744
18,0.029459257618082862,0.03414188898945552
19,0.029438956355932425,0.03255856882476778
20,0.03057970391556929,0.032137499975855036
21,0.028465247219575888,0.033057575249062096
22,0.03158193267654995,0.03353903548798811
23,0.03259286233626678,0.034669737142128426
24,0.030660427698409515,0.033566473244749526
25,0.03193964766526774,0.035023987039143216
26,0.03040583183065547,0.03636717792695681
27,0.031301644085095365,0.03543155281900924
28,0.03346188538838246,0.036093185067031616
29,0.03293023473525308,0.03580825635199134
30,0.03036281382994007,0.03378943832144232
31,0.030068221321640293,0.0335511304211239
32,0.032943773756073685,0.03434243163005443
33,0.03664766609596132,0.033677038699207004
34,0.030853314391007233,0.03440251438248898
35,0.030178871500361415,0.03461175147856923
36,0.03268965804693034,0.03560105609581619
37,0.03312150671188782,0.03586491652005482
38,0.032789816519520024,0.03460069453563818
39,0.037112929353470055,0.03323875852246813
40,0.03280245205081191,0.035371767537189146
41,0.03577929495603536,0.03309277781760649
42,0.03287637113944041,0.03282701847463649
43,0.03224535452499169,0.032528579997377474
44,0.035299758382604414,0.040296402831315706
45,0.030528356537821814,0.03316733796471655
46,0.03305329649224786,0.03668525847680095
47,0.032969001113424636,0.03589619440225097
48,0.03472745189858412,0.03072794891276196
49,0.03308891150170209,0.03333566142711221
50,0.033633099567149646,0.032007551603427616
