SERVER ROUND,Loss(DP with DNN)
0,0.021671636885006864
1,0.015053017878630363
2,0.014781369952216444
3,0.014656951563818684
4,0.014596892969647468
5,0.014574708824909865
6,0.014556122073835366
7,0.014551987420275081
8,0.014523828808585408
9,0.014515199708403335
10,0.014518656681933775
11,0.014501954883977042
12,0.014498336073829658
13,0.014493368606332456
14,0.014495608909867801
15,0.014497257846036987
16,0.01449128558898237
17,0.014488934481615933
18,0.014472409636391964
19,0.014469768205424128
20,0.014486778189450744
21,0.014440813451478617
22,0.014468280006138699
23,0.014474145392870414
24,0.014468420864873174
25,0.014450539467963533
26,0.014442422575716847
27,0.014464532796429194
28,0.014472781736133459
29,0.014434100539519167
30,0.014428388282438238
31,0.014418583784045615
32,0.014412309689967921
33,0.014400131503914797
34,0.01440460007849372
35,0.014403131358493186
36,0.014405215272915602
37,0.014410944381147593
38,0.014379632891526354
39,0.014388960208535344
40,0.014389120692093027
41,0.014411217866512591
42,0.0144127473023156
43,0.014380321060249076
44,0.014377830003141722
45,0.0143815186900578
46,0.014391787525208697
47,0.014364856115918158
48,0.014365283196358512
49,0.014374695521650266
50,0.014393778690001574
